activity_name,category
Gas condensing boiler 120-400kW (upright unit),Electrical Equipment
Spinach (market for spinach),Arable Farming
Potatoes crisps,Food/Beverages/Tobacco
Tax preparation services,Professional Services and Activities
Aluminium - North American,Metals
Savings institutions,Financial Services
Hydrogen gaseous low pressure (market for hydrogen gaseous low pressure),Fuel
Other commercial buildings,Real Estate
Aircraft,Vehicles
All other insurance related activities,Insurance Services
Sewage sludge 75% water WWT WW from ceramic production (market for sewage sludge 75% water WWT WW from ceramic production),Waste Management
Unrefined oil and gas,Fuel
Kerosene-type jet fuel,Fuel
Other secondary nonferrous metal products,Metals
Research and development in biotechnology (except nanobiotechnology),Professional Services and Activities
Manganese sulfate (market for manganese sulfate),Chemical Products
Bituminous coal underground mining,Fuel
Research and development in the physical/engineering and life sciences (except nanotechnology and biotechnology),Professional Services and Activities
Metal window and door manufacturing,Fabricated Metal Products
Sewage sludge 97% water WWT-SLF waste plastic plaster (market for sewage sludge 97% water WWT-SLF waste plastic plaster),Waste Management
Fresh spinach,Arable Farming
Calcium carbonate - precipitated (market for calcium carbonate - precipitated),Chemical Products
Base plaster (market for base plaster),Building Materials
Deinking emulsion - in paper production (market for deinking emulsion - in paper production),Chemical Products
Lightweight concrete block - polystyrene (market for lightweight concrete block - polystyrene),Building Materials
Metal valves and pipe fittings,Fabricated Metal Products
Maintenance - micro gas turbine - 100kw electrical (market for maintenance - micro gas turbine - 100kW electrical),Maintenance and Repair
Fluosilicic acid - without water - in 22% solution state (market for fluosilicic acid - without water - in 22% solution state),Chemical Products
Concrete pipe reinforced,Building Materials
Petroleum based oils - other than petroleum based oil used as fuel,Fuel
Photography and photocopying equipment,Machinery
Peas,Arable Farming
Screed mortar - cement screed,Building Materials
Paints/varnishes and similar coatings/printing ink and mastics,Chemical Products
Furnace - wood chips - softwood storage area - 50kw (market for furnace - wood chips - softwood storage area - 50kW),Storage
Household furniture,Furnishings and Household
Tangerines/mandarins,Arable Farming
Cement/lime/plaster and articles of concrete/cement and plaster,Building Materials
Wastewater from textile production (market for wastewater from textile production),Water Treatment
Titanium tetrachloride (market for titanium tetrachloride),Chemical Products
Furnace - logs - softwood storage area - 100kw (market for furnace - logs - softwood storage area - 100kW),Storage
Facade clinker,Building Materials
Laminated plastic plates and shapes,Plastics and Rubber Products
Diesel-electric generating set - 18.5kw (market for diesel-electric generating set - 18.5kW),Machinery
Reinsurance carriers,Insurance Services
Wood preservation - spray tunnel/deluging - water-based - indoor use - dry (market for wood preservation - spray tunnel/deluging - water-based - indoor use - dry),Timber and Forestry Products
Air freight - RF effect unknown,Air Freight
Cucumbers lettuce peppers and tomatoes,Arable Farming
Bottom ash MSWI-WWT-SLF residue from cooling tower (market for bottom ash MSWI-WWT-SLF residue from cooling tower),Waste Management
Cement (CEM IV 42.5),Building Materials
Wood preservative - water-based - indoor use - occasionally wet (market for wood preservative - water-based - indoor use - occasionally wet),Chemical Products
Bottom ash MSWI[F] waste bitumen sheet (market for bottom ash MSWI[F] waste bitumen sheet),Waste Management
Concrete RC40/50 with average UK additions cement,Building Materials
Mulberry leaves (market for mulberry leaves),Arable Farming
Battery - li-ion - nmc811 - rechargeable - prismatic (market for battery - Li-ion - NMC811 - rechargeable - prismatic),Electronics
Plumbing fixture fitting and trim manufacturing,Fabricated Metal Products
Tetrafluoroethylene film - on glass (market for tetrafluoroethylene film - on glass),Chemical Products
Rental of residential real estate,Real Estate
Diethanolamine (market for diethanolamine),Chemical Products
